row_id,stratum,maintenance_id,v1_signature,source_field,segment_text,pred1_concept,pred1_score,pred1_primary_stage,pred1_all_stages,pred1_matched_term,pred2_concept,pred2_score,pred3_concept,pred3_score,LABEL_segment_type,LABEL_pred1_verdict,LABEL_evidence_quality,LABEL_valid_concepts,LABEL_invalid_concepts,LABEL_missing_concepts,LABEL_notes
62,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"There is play in the suspension","Infotainment / screen issue",76,token,token,"car play","Knocking over bumps",58,"Loose steering",58,,,,,,,
63,band_60_79,160193,OIL_SERVICE,maintenance_notes,"Dent on the hood",Dent,79,token,phrase+token+fuzzy,dent,Overheating,48,,,,,,,,,
64,band_60_79,162112,INTERIOR,service_main,Interior,"Seat / upholstery damage",63,token,token,"interior upholstery","Interior trim damage",63,"Interior light fault",60,,,,,,,
65,system_BRAKES,169052,BRAKES,maintenance_notes,"Scratches on the left side",Scratch,78,token,phrase+token+fuzzy,scratches,"Pulling / drifting",56,"Accident damage",54,,,,,,,
66,ambiguous,162112,INTERIOR,maintenance_notes,"Scratch on the front left rim","Damaged rim",79,token,token+fuzzy,"rim scratch",Scratch,77,"Steering vibration",63,,,,,,,
67,bare_system_noun,162802,TYRE,service_main,Tires,"Wheel balancing",63,token,token,"tires balance","Worn / bald tyre",60,,,,,,,,,
68,unresolved,168790,CHECK_ENGINE,maintenance_notes,done,,,,,,,,,,,,,,,,
69,ambiguous,147174,OIL_SERVICE,maintenance_notes,"oil leak from filter","Oil leak",83,token,phrase+token,"Oil leak","Oil Filter",83,"Coolant leak",68,,,,,,,
70,system_COOLING,170009,COOLING,maintenance_notes,"Scratches on the front lip",Scratch,78,token,phrase+token+fuzzy,scratches,"Wiper / washer fault",56,"Bumper damage",56,,,,,,,
71,band_60_79,146195,TRANSMISSION,maintenance_notes,"need to check","Wheel alignment",63,token,token,"alignment check","Engine noise",62,"Oil leak",62,,,,,,,
72,band_60_79,161668,SUSPENSION,maintenance_notes,"seal issue","Water leakage into cabin",61,token,token,"seal perished",,,,,,,,,,,
73,unresolved,167851,TYRE,service_sup,Maintenance,,,,,,,,,,,,,,,,
74,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"there is an issue between the tire and the rim","Damaged rim",68,fuzzy,token+fuzzy,"4 rims","Tire Change",58,"Puncture / slow leak",56,,,,,,,
75,system_BRAKES,169052,BRAKES,maintenance_notes,"Scratches on the driver’s door",Scratch,79,token,phrase+token+fuzzy,scratches,"Door / panel misalignment",58,"Broken glass / window",56,,,,,,,
76,bare_system_noun,161668,SUSPENSION,service_main,Suspension,"Knocking over bumps",63,token,token,"suspension knock",,,,,,,,,,,
77,control_80_plus,161668,SUSPENSION,maintenance_notes,"Engine oil leak from the crankcase area has been resolved","Oil leak",80,token,phrase+token,"Oil leak","Engine noise",68,"Coolant leak",68,,,,,,,
78,unresolved,168790,CHECK_ENGINE,maintenance_notes,done,,,,,,,,,,,,,,,,
79,action_like,160222,TYRE,maintenance_notes,"collecting interior parts done","Interior trim damage",85,phrase,phrase+token,"collecting interior parts","Seat / upholstery damage",56,"Interior light fault",53,,,,,,,
80,band_60_79,161668,SUSPENSION,maintenance_notes,"7 liters of engine oil","Engine noise",68,semantic,token+semantic,"Engine noise","Coolant leak",68,"Oil leak",64,,,,,,,
81,system_SUSPENSION,161668,SUSPENSION,service_sup,"Engine Oil leak","Oil leak",83,token,phrase+token,"Oil leak","Engine noise",68,"Coolant leak",68,,,,,,,
82,ambiguous,153862,LIGHTS,maintenance_notes,"front bumper  scratches with adjust","Bumper damage",79,token,phrase+token+fuzzy,"front bumper",Scratch,77,"Wiper / washer fault",55,,,,,,,
83,control_80_plus,157894,CHECK_ENGINE,maintenance_notes,"check engine light with turbo issue checking","Check-engine light",80,token,phrase+token,"check engine light","Engine noise",56,"Wheel alignment",55,,,,,,,
84,band_60_79,162112,INTERIOR,maintenance_notes,Adjustment,"Wheel alignment",61,token,token,"camber adjustment","Engine noise",60,"Oil leak",60,,,,,,,
85,band_60_79,161668,SUSPENSION,service_main,Interior,"Seat / upholstery damage",63,token,token,"interior upholstery","Interior trim damage",63,"Interior light fault",60,,,,,,,
86,ambiguous,157567,SUSPENSION,maintenance_notes,"Garage will finish working on tire balancing","Wheel balancing",76,token,phrase+token+fuzzy,balancing,"Steering vibration",74,"Paint damage",68,,,,,,,
87,bare_system_noun,161484,EXHAUST,service_main,Exhaust,"Exhaust fault",69,fuzzy,token+fuzzy,exhast,"Excessive exhaust smoke",63,,,,,,,,,
88,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"4 brake pads (bought)","Worn pads / discs",66,token,token,"brake pads finished","Brake noise (squeal / grind)",56,"Vibration when braking",56,,,,,,,
89,system_ELECTRICAL,168300,ELECTRICAL,maintenance_notes,"The screen is not working","Infotainment / screen issue",78,token,token,"screen issue","Power window / lock fault",66,"Central locking / key fob",66,,,,,,,
90,action_like,162802,TYRE,maintenance_notes,"pending:""The front bumper require painting""","Bumper damage",78,token,phrase+token+fuzzy,"front bumper","Paint damage",76,"Wiper / washer fault",55,,,,,,,
91,system_BRAKES,160253,BRAKES,maintenance_notes,"Scratches on the driver’s door",Scratch,79,token,phrase+token+fuzzy,scratches,"Door / panel misalignment",58,"Broken glass / window",56,,,,,,,
92,system_COOLING,170009,COOLING,service_sup,"Minor Surface Scratch",Scratch,96,alias,alias+phrase+token+fuzzy,"minor surface scratch","Damaged rim",56,"Rust / corrosion",54,,,,,,,
93,ambiguous,162037,INTERIOR,maintenance_notes,"Scratches on the front and rear left rims",Scratch,76,token,phrase+token+fuzzy,scratches,"Damaged rim",76,"Pulling / drifting",55,,,,,,,
94,system_BRAKES,169052,BRAKES,maintenance_notes,"Scratches on the driver’s door edge",Scratch,78,token,phrase+token+fuzzy,scratches,"Door / panel misalignment",56,"Broken glass / window",54,,,,,,,
95,band_60_79,167851,TYRE,maintenance_notes,"Scratches on the vehicle body",Scratch,79,token,phrase+token+fuzzy,scratches,Dent,58,"Vibration at speed",58,,,,,,,
96,ambiguous,168790,CHECK_ENGINE,maintenance_notes,"Check engine light is on and the airbag warning light is on","Check-engine light",80,token,phrase+token,"check engine light","Airbag warning",80,"ABS warning light",73,,,,,,,
97,system_SUSPENSION,161668,SUSPENSION,service_sup,"Coolant Leak","Coolant leak",96,alias,alias+token,"coolant leak","Oil leak",68,"Coolant service",59,,,,,,,
98,action_like,158822,ELECTRICAL,maintenance_notes,"light polish done","Check-engine light",77,token,token,"light is on","ABS warning light",58,"Alternator / charging fault",58,,,,,,,
99,action_like,169499,STEERING,maintenance_notes,"pending:painting the front bumper +polish.","Bumper damage",78,token,phrase+token+fuzzy,"front bumper","Paint damage",76,"Wiper / washer fault",55,,,,,,,
100,band_60_79,162802,TYRE,maintenance_notes,"""The front left wheel studs","Engine noise",68,semantic,token+semantic,"rattling from the front","Wheel alignment",55,"Wheel balancing",55,,,,,,,
101,action_like,161704,UNSIGNED,maintenance_notes,"Door lock has been installed","Door lock fault",78,token,token,"lock problem","Power window / lock fault",59,"Door / panel misalignment",56,,,,,,,
102,control_80_plus,162112,INTERIOR,maintenance_notes,alignment,"Wheel alignment",96,alias,alias+token+fuzzy,alignment,"Pulling / drifting",61,"Engine noise",60,,,,,,,
103,ambiguous,169499,STEERING,maintenance_notes,"Scratches on the front bumper +  hood + windshield +front left fender +rear left door+ front left door handle+ rear bumper+ rear right door+ front right door","Bumper damage",76,token,phrase+token+fuzzy,"front bumper",Scratch,75,"Windscreen crack / chip",75,,,,,,,
104,ambiguous,155170,BODY,maintenance_notes,"took off front bumper with lip to dents fix and front lip change","Bumper damage",77,token,phrase+token+fuzzy,"front bumper",Dent,76,"Oil Change",56,,,,,,,
105,band_60_79,161668,SUSPENSION,maintenance_notes,"Brake pads and sensors installed","Worn pads / discs",65,token,token,"brake pads finished","Brake noise (squeal / grind)",55,"Vibration when braking",55,,,,,,,
106,band_60_79,144422,OIL_SERVICE,maintenance_notes,"engine undercover","Coolant leak",68,semantic,token+semantic,"puddle under the engine","Engine noise",59,"Rough idle / misfire",58,,,,,,,
107,system_BRAKES,147555,BRAKES,maintenance_notes,"fixed and reprograming abs sensor","ABS warning light",72,token,phrase+token,ABS,"Sensor failure",57,"Wheel alignment",56,,,,,,,
108,band_60_79,161668,SUSPENSION,maintenance_notes,"Coolant leak coming from a pipe","Coolant leak",79,token,phrase+token,"coolant leak","Oil leak",68,"Coolant service",57,,,,,,,
109,band_60_79,162112,INTERIOR,maintenance_notes,"Scratch and crack on the front lip",Scratch,77,token,phrase+token+fuzzy,scratch,"Windscreen crack / chip",55,"Wiper / washer fault",55,,,,,,,
110,bare_system_noun,161230,COOLING,service_main,Suspension,"Knocking over bumps",63,token,token,"suspension knock",,,,,,,,,,,
111,band_60_79,157894,CHECK_ENGINE,maintenance_notes,"changed turbo oil pipe","Oil leak",63,token,token,"oil under the car","Oil Change",57,"Oil Filter",57,,,,,,,
112,band_60_79,168359,CHECK_ENGINE,maintenance_notes,"check engine message","Check-engine light",66,token,token,"check engine light","Engine noise",58,"Wheel alignment",56,,,,,,,
113,unresolved,152274,UNSIGNED,maintenance_notes,"car is already assembled",,,,,,,,,,,,,,,,
114,control_80_plus,157481,UNSIGNED,maintenance_notes,"engine fan is not working well","Cooling fan fault",80,token,token,"fan not working","Power window / lock fault",64,"Central locking / key fob",64,,,,,,,
115,band_60_79,143833,GLASS,maintenance_notes,"and driver seat belt fixed","Seat belt fault",66,token,token,"seat belt fault","Seat / upholstery damage",56,"Seat adjustment fault",56,,,,,,,
116,system_SUSPENSION,161668,SUSPENSION,maintenance_notes,"The source of the oil leak has not yet been identified","Oil leak",80,token,phrase+token,"Oil leak","Coolant leak",68,"Transmission fluid leak",63,,,,,,,
117,unresolved,166486,ELECTRICAL,maintenance_notes,"checked car in future and it's working well",,,,,,,,,,,,,,,,
118,control_80_plus,162112,INTERIOR,service_sup,"Rim Scratch","Damaged rim",96,alias,alias+token+fuzzy,"rim scratch",Scratch,81,"Steering vibration",56,,,,,,,
119,band_60_79,159573,CHECK_ENGINE,maintenance_notes,"installing new wipers",Stalling,72,phrase,phrase+fuzzy,Stalling,"Wiper / washer fault",58,,,,,,,,,
120,system_BRAKES,169949,BRAKES,service_sup,"Rim Scratch","Damaged rim",96,alias,alias+token+fuzzy,"rim scratch",Scratch,81,"Steering vibration",56,,,,,,,
121,system_COOLING,170009,COOLING,service_sup,"Rim Scratch","Damaged rim",96,alias,alias+token+fuzzy,"rim scratch",Scratch,81,"Steering vibration",56,,,,,,,
122,control_80_plus,153862,LIGHTS,maintenance_notes,"and some scratches",Scratch,84,token,phrase+token+fuzzy,scratches,,,,,,,,,,,
123,ambiguous,154310,INTERIOR,maintenance_notes,"rims scratches (2)",Scratch,79,token,phrase+token+fuzzy,scratches,"Damaged rim",79,,,,,,,,,
124,band_60_79,153241,TRANSMISSION,maintenance_notes,"taking off front differential","Wheel alignment",68,fuzzy,fuzzy,"needs tracking","Engine noise",68,"Wiper / washer fault",55,,,,,,,
125,system_ENGINE_MECH,167655,ENGINE_MECH,maintenance_notes,"-Misalignment or gaps in the bumper","Wheel alignment",71,phrase,phrase,alignment,"Bumper damage",69,"Door / panel misalignment",56,,,,,,,
126,band_60_79,161668,SUSPENSION,maintenance_notes,"Sealant has been applied to the oil drain plug","Oil leak",63,token,token,"oil under the car","Oil Change",56,"Oil Filter",56,,,,,,,
127,system_SUSPENSION,161668,SUSPENSION,maintenance_notes,"There is an oil leak from the oil plug","Oil leak",83,token,phrase+token,"Oil leak","Coolant leak",68,"Transmission fluid leak",66,,,,,,,
128,band_60_79,153862,LIGHTS,maintenance_notes,"some body scratches",Scratch,79,token,phrase+token+fuzzy,scratches,Dent,58,"Vibration at speed",58,,,,,,,
129,ambiguous,144820,STEERING,maintenance_notes,"wheels aligned and balanced","Wheel balancing",81,token,token,"balanced the wheels","Wheel alignment",78,,,,,,,,,
130,band_60_79,153862,LIGHTS,maintenance_notes,"rear seat rear cover springs fix","Seat / upholstery damage",64,token,token,"seat cover torn","Bumper damage",55,"Seat adjustment fault",55,,,,,,,
131,ambiguous,150010,SUSPENSION,maintenance_notes,"now going to one roof garage to fix body and rims scratches",Scratch,76,token,phrase+token+fuzzy,scratches,"Damaged rim",76,Dent,54,,,,,,,
132,ambiguous,158822,ELECTRICAL,maintenance_notes,"airbag light fixed was problem with seat","Airbag warning",79,token,phrase+token+fuzzy,"airbag light","Check-engine light",74,"ABS warning light",55,,,,,,,
133,band_60_79,166486,ELECTRICAL,maintenance_notes,"car has gearbox not working","Power window / lock fault",66,token,token,"window not working","Central locking / key fob",66,"Heater not working",66,,,,,,,
134,ambiguous,164214,INTERIOR,service_main,"Rims scratch",Scratch,79,token,phrase+token+fuzzy,scratch,"Damaged rim",79,,,,,,,,,
135,system_COOLING,164861,COOLING,service_main,"Engine Overheating",Overheating,96,alias,alias+phrase+token+fuzzy,"engine overheating","Engine noise",59,"Rough idle / misfire",58,,,,,,,
136,band_60_79,161668,SUSPENSION,maintenance_notes,"A new water pump has been purchased and will be installed","Water pump failure",64,token,token,"water pump failure","Coolant leak",63,"Coolant service",55,,,,,,,
137,system_BRAKES,169949,BRAKES,maintenance_notes,"Scratches on:Front right rim+Left side of the front bumper+Front left rim+","Bumper damage",77,token,phrase+token+fuzzy,"front bumper",Scratch,76,"Damaged rim",68,,,,,,,
138,band_60_79,159573,CHECK_ENGINE,maintenance_notes,"scratch (rear fender)",Scratch,78,token,phrase+token+fuzzy,scratch,"Damaged rim",56,"Bumper damage",56,,,,,,,
139,band_60_79,153862,LIGHTS,maintenance_notes,"rear bumper covers paint fix","Bumper damage",78,token,phrase+token+fuzzy,"rear bumper",Scratch,55,"Paint damage",55,,,,,,,
140,control_80_plus,152103,BODY,maintenance_notes,"fixing trunk door","Door / panel misalignment",81,token,phrase+token,"trunk door","Broken glass / window",54,Dent,46,,,,,,,
141,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"A tire is losing air","Puncture / slow leak",70,token,token,"tire losing air","Air Filter",58,"Tire Change",58,,,,,,,
142,control_80_plus,167851,TYRE,maintenance_notes,"Wheel alignment","Wheel alignment",96,alias,alias+phrase+token+fuzzy,"wheel alignment","Wheel balancing",58,"Steering vibration",58,,,,,,,
143,ambiguous,167655,ENGINE_MECH,maintenance_notes,"-Windshield washer nozzle is not working","Wiper / washer fault",80,token,token,"washer not working","Windscreen crack / chip",76,"Power window / lock fault",64,,,,,,,
144,system_SUSPENSION,161668,SUSPENSION,maintenance_notes,"Engine oil leak persists – oil cap","Oil leak",80,token,phrase+token,"Oil leak","Engine noise",68,"Coolant leak",68,,,,,,,
145,system_ELECTRICAL,158720,ELECTRICAL,maintenance_notes,"- Scratches on the rear rims",Scratch,78,token,phrase+token+fuzzy,scratches,"Damaged rim",78,"Bumper damage",56,,,,,,,
146,band_60_79,150991,ENGINE_MECH,maintenance_notes,"assembling new engine to the car","Coolant leak",68,semantic,token+semantic,"puddle under the engine","Engine noise",59,"Rough idle / misfire",58,,,,,,,
147,unresolved,144422,OIL_SERVICE,maintenance_notes,"and fenders cover",,,,,,,,,,,,,,,,
148,ambiguous,167655,ENGINE_MECH,maintenance_notes,"-Scratches on the rims and vehicle body",Scratch,78,token,phrase+token+fuzzy,scratches,"Damaged rim",78,Dent,56,,,,,,,
149,bare_system_noun,161500,ENGINE_MECH,service_main,Engine,"Coolant leak",68,semantic,token+semantic,"puddle under the engine","Engine noise",64,"Rough idle / misfire",63,,,,,,,
150,control_80_plus,162112,INTERIOR,service_sup,"Minor Surface Scratch",Scratch,96,alias,alias+phrase+token+fuzzy,"minor surface scratch","Damaged rim",56,"Rust / corrosion",54,,,,,,,
151,ambiguous,167851,TYRE,maintenance_notes,"Oil and filter change","Oil Change",83,token,token,"Oil Change","Oil Filter",83,"Oil leak",64,,,,,,,
152,system_ENGINE_MECH,166930,ENGINE_MECH,maintenance_notes,"Scratches on the vehicle body (DONE)",Scratch,79,token,phrase+token+fuzzy,scratches,Dent,58,"Vibration at speed",58,,,,,,,
153,band_60_79,153136,BATTERY,maintenance_notes,"radar is not working","Camera / ADAS fault",78,token,token,"radar issue","Power window / lock fault",66,"Central locking / key fob",66,,,,,,,
154,action_like,146019,COOLING,maintenance_notes,"body kit is painting","Paint damage",78,token,phrase+token+fuzzy,painting,Dent,56,"Vibration at speed",56,,,,,,,
155,system_ENGINE_MECH,166930,ENGINE_MECH,maintenance_notes,"Scratches on the rear bumper(done)","Bumper damage",81,token,phrase+token+fuzzy,"rear bumper",Scratch,78,"Parking sensor fault",56,,,,,,,
