row_id,stratum,maintenance_id,v1_signature,source_field,segment_text,pred1_concept,pred1_score,pred1_primary_stage,pred1_all_stages,pred1_matched_term,pred2_concept,pred2_score,pred3_concept,pred3_score,LABEL_segment_type,LABEL_pred1_verdict,LABEL_evidence_quality,LABEL_valid_concepts,LABEL_invalid_concepts,LABEL_missing_concepts,LABEL_notes
40,band_60_79,158822,ELECTRICAL,maintenance_notes,"car moved with jhony to najm al afaq to fix the car play","Infotainment / screen issue",73,token,phrase+token,"car play","Loose steering",54,"Exhaust fault",54,,,,,,,
42,band_60_79,161500,ENGINE_MECH,service_sup,"Engine mechanical issue","Coolant leak",68,semantic,token+semantic,"puddle under the engine","Engine noise",59,"Rough idle / misfire",58,,,,,,,
43,ambiguous,161668,SUSPENSION,maintenance_notes,"Coolant leak from water pump","Water pump failure",82,token,token,"water pump leak","Coolant leak",79,"Water leakage into cabin",65,,,,,,,
44,action_like,151576,RIM,maintenance_notes,"front bumper painted with black","Bumper damage",79,token,phrase+token+fuzzy,"front bumper","Excessive exhaust smoke",55,"Wiper / washer fault",55,,,,,,,
45,band_60_79,144422,OIL_SERVICE,maintenance_notes,"front bumper and grill needs to fix and front left door need to check","Bumper damage",77,token,phrase+token+fuzzy,"front bumper","Wheel alignment",54,"Pulling / drifting",54,,,,,,,
46,band_60_79,150991,ENGINE_MECH,maintenance_notes,"old engine is on the ground","Coolant leak",68,semantic,token+semantic,"puddle under the engine","Engine noise",59,"Rough idle / misfire",58,,,,,,,
47,unresolved,168790,CHECK_ENGINE,maintenance_notes,"drums machined (",,,,,,,,,,,,,,,,
49,action_like,162802,TYRE,maintenance_notes,"+painting  the left side of the rear bumper.","Bumper damage",78,token,phrase+token+fuzzy,"rear bumper","Paint damage",76,"Pulling / drifting",55,,,,,,,
51,action_like,158822,ELECTRICAL,maintenance_notes,"adjust the front kit and polish the light front right","Check-engine light",74,token,token,"light is on","ABS warning light",54,"Alternator / charging fault",54,,,,,,,
52,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"Rear brake pads are at half life","Worn pads / discs",64,token,token,"brake pads finished","Brake noise (squeal / grind)",55,"Vibration when braking",55,,,,,,,
53,band_60_79,157481,UNSIGNED,maintenance_notes,"not working on high speed","Power window / lock fault",65,token,token,"window not working","Central locking / key fob",65,"Heater not working",65,,,,,,,
55,band_60_79,153862,LIGHTS,maintenance_notes,"front left fog light","Check-engine light",74,token,token,"light is on","ABS warning light",55,"Pulling / drifting",55,,,,,,,
56,ambiguous,161668,SUSPENSION,maintenance_notes,"Scratches on rims",Scratch,79,token,phrase+token+fuzzy,scratches,"Damaged rim",79,,,,,,,,,
57,band_60_79,164870,ENGINE_MECH,maintenance_notes,"front lip scratches",Scratch,78,token,phrase+token+fuzzy,scratches,"Wiper / washer fault",56,"Bumper damage",56,,,,,,,
59,ambiguous,157894,CHECK_ENGINE,maintenance_notes,"oil and filter change","Oil Change",83,token,token,"Oil Change","Oil Filter",83,"Oil leak",64,,,,,,,
62,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"There is play in the suspension","Infotainment / screen issue",76,token,token,"car play","Knocking over bumps",58,"Loose steering",58,,,,,,,
63,band_60_79,160193,OIL_SERVICE,maintenance_notes,"Dent on the hood",Dent,79,token,phrase+token+fuzzy,dent,Overheating,48,,,,,,,,,
64,band_60_79,162112,INTERIOR,service_main,Interior,"Seat / upholstery damage",63,token,token,"interior upholstery","Interior trim damage",63,"Interior light fault",60,,,,,,,
66,ambiguous,162112,INTERIOR,maintenance_notes,"Scratch on the front left rim","Damaged rim",79,token,token+fuzzy,"rim scratch",Scratch,77,"Steering vibration",63,,,,,,,
68,unresolved,168790,CHECK_ENGINE,maintenance_notes,done,,,,,,,,,,,,,,,,
69,ambiguous,147174,OIL_SERVICE,maintenance_notes,"oil leak from filter","Oil leak",83,token,phrase+token,"Oil leak","Oil Filter",83,"Coolant leak",68,,,,,,,
71,band_60_79,146195,TRANSMISSION,maintenance_notes,"need to check","Wheel alignment",63,token,token,"alignment check","Engine noise",62,"Oil leak",62,,,,,,,
72,band_60_79,161668,SUSPENSION,maintenance_notes,"seal issue","Water leakage into cabin",61,token,token,"seal perished",,,,,,,,,,,
73,unresolved,167851,TYRE,service_sup,Maintenance,,,,,,,,,,,,,,,,
74,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"there is an issue between the tire and the rim","Damaged rim",68,fuzzy,token+fuzzy,"4 rims","Tire Change",58,"Puncture / slow leak",56,,,,,,,
78,unresolved,168790,CHECK_ENGINE,maintenance_notes,done,,,,,,,,,,,,,,,,
79,action_like,160222,TYRE,maintenance_notes,"collecting interior parts done","Interior trim damage",85,phrase,phrase+token,"collecting interior parts","Seat / upholstery damage",56,"Interior light fault",53,,,,,,,
80,band_60_79,161668,SUSPENSION,maintenance_notes,"7 liters of engine oil","Engine noise",68,semantic,token+semantic,"Engine noise","Coolant leak",68,"Oil leak",64,,,,,,,
82,ambiguous,153862,LIGHTS,maintenance_notes,"front bumper  scratches with adjust","Bumper damage",79,token,phrase+token+fuzzy,"front bumper",Scratch,77,"Wiper / washer fault",55,,,,,,,
84,band_60_79,162112,INTERIOR,maintenance_notes,Adjustment,"Wheel alignment",61,token,token,"camber adjustment","Engine noise",60,"Oil leak",60,,,,,,,
85,band_60_79,161668,SUSPENSION,service_main,Interior,"Seat / upholstery damage",63,token,token,"interior upholstery","Interior trim damage",63,"Interior light fault",60,,,,,,,
86,ambiguous,157567,SUSPENSION,maintenance_notes,"Garage will finish working on tire balancing","Wheel balancing",76,token,phrase+token+fuzzy,balancing,"Steering vibration",74,"Paint damage",68,,,,,,,
88,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"4 brake pads (bought)","Worn pads / discs",66,token,token,"brake pads finished","Brake noise (squeal / grind)",56,"Vibration when braking",56,,,,,,,
90,action_like,162802,TYRE,maintenance_notes,"pending:""The front bumper require painting""","Bumper damage",78,token,phrase+token+fuzzy,"front bumper","Paint damage",76,"Wiper / washer fault",55,,,,,,,
93,ambiguous,162037,INTERIOR,maintenance_notes,"Scratches on the front and rear left rims",Scratch,76,token,phrase+token+fuzzy,scratches,"Damaged rim",76,"Pulling / drifting",55,,,,,,,
95,band_60_79,167851,TYRE,maintenance_notes,"Scratches on the vehicle body",Scratch,79,token,phrase+token+fuzzy,scratches,Dent,58,"Vibration at speed",58,,,,,,,
96,ambiguous,168790,CHECK_ENGINE,maintenance_notes,"Check engine light is on and the airbag warning light is on","Check-engine light",80,token,phrase+token,"check engine light","Airbag warning",80,"ABS warning light",73,,,,,,,
98,action_like,158822,ELECTRICAL,maintenance_notes,"light polish done","Check-engine light",77,token,token,"light is on","ABS warning light",58,"Alternator / charging fault",58,,,,,,,
99,action_like,169499,STEERING,maintenance_notes,"pending:painting the front bumper +polish.","Bumper damage",78,token,phrase+token+fuzzy,"front bumper","Paint damage",76,"Wiper / washer fault",55,,,,,,,
100,band_60_79,162802,TYRE,maintenance_notes,"""The front left wheel studs","Engine noise",68,semantic,token+semantic,"rattling from the front","Wheel alignment",55,"Wheel balancing",55,,,,,,,
101,action_like,161704,UNSIGNED,maintenance_notes,"Door lock has been installed","Door lock fault",78,token,token,"lock problem","Power window / lock fault",59,"Door / panel misalignment",56,,,,,,,
103,ambiguous,169499,STEERING,maintenance_notes,"Scratches on the front bumper +  hood + windshield +front left fender +rear left door+ front left door handle+ rear bumper+ rear right door+ front right door","Bumper damage",76,token,phrase+token+fuzzy,"front bumper",Scratch,75,"Windscreen crack / chip",75,,,,,,,
105,band_60_79,161668,SUSPENSION,maintenance_notes,"Brake pads and sensors installed","Worn pads / discs",65,token,token,"brake pads finished","Brake noise (squeal / grind)",55,"Vibration when braking",55,,,,,,,
106,band_60_79,144422,OIL_SERVICE,maintenance_notes,"engine undercover","Coolant leak",68,semantic,token+semantic,"puddle under the engine","Engine noise",59,"Rough idle / misfire",58,,,,,,,
108,band_60_79,161668,SUSPENSION,maintenance_notes,"Coolant leak coming from a pipe","Coolant leak",79,token,phrase+token,"coolant leak","Oil leak",68,"Coolant service",57,,,,,,,
109,band_60_79,162112,INTERIOR,maintenance_notes,"Scratch and crack on the front lip",Scratch,77,token,phrase+token+fuzzy,scratch,"Windscreen crack / chip",55,"Wiper / washer fault",55,,,,,,,
111,band_60_79,157894,CHECK_ENGINE,maintenance_notes,"changed turbo oil pipe","Oil leak",63,token,token,"oil under the car","Oil Change",57,"Oil Filter",57,,,,,,,
112,band_60_79,168359,CHECK_ENGINE,maintenance_notes,"check engine message","Check-engine light",66,token,token,"check engine light","Engine noise",58,"Wheel alignment",56,,,,,,,
113,unresolved,152274,UNSIGNED,maintenance_notes,"car is already assembled",,,,,,,,,,,,,,,,
115,band_60_79,143833,GLASS,maintenance_notes,"and driver seat belt fixed","Seat belt fault",66,token,token,"seat belt fault","Seat / upholstery damage",56,"Seat adjustment fault",56,,,,,,,
117,unresolved,166486,ELECTRICAL,maintenance_notes,"checked car in future and it's working well",,,,,,,,,,,,,,,,
119,band_60_79,159573,CHECK_ENGINE,maintenance_notes,"installing new wipers",Stalling,72,phrase,phrase+fuzzy,Stalling,"Wiper / washer fault",58,,,,,,,,,
124,band_60_79,153241,TRANSMISSION,maintenance_notes,"taking off front differential","Wheel alignment",68,fuzzy,fuzzy,"needs tracking","Engine noise",68,"Wiper / washer fault",55,,,,,,,
147,unresolved,144422,OIL_SERVICE,maintenance_notes,"and fenders cover",,,,,,,,,,,,,,,,
154,action_like,146019,COOLING,maintenance_notes,"body kit is painting","Paint damage",78,token,phrase+token+fuzzy,painting,Dent,56,"Vibration at speed",56,,,,,,,
158,action_like,161668,SUSPENSION,maintenance_notes,"Oil and filter have been replaced","Oil Filter",83,token,token,"Oil Filter","Oil leak",64,"Oil Change",58,,,,,,,
159,unresolved,168067,UNSIGNED,service_sup,"New Car",,,,,,,,,,,,,,,,
165,unresolved,166486,ELECTRICAL,maintenance_notes,"car is un able to move",,,,,,,,,,,,,,,,
170,action_like,157567,SUSPENSION,maintenance_notes,"parts adjusted and now will work on paint before installing",Stalling,72,phrase,phrase+fuzzy,Stalling,Scratch,54,"Paint damage",54,,,,,,,
172,action_like,157567,SUSPENSION,maintenance_notes,"car finished painting on 17","Paint damage",78,token,phrase+token+fuzzy,painting,"Worn / bald tyre",54,Dent,54,,,,,,,
175,action_like,146019,COOLING,maintenance_notes,"dashbord programming","Dashboard fault",76,token,phrase+token+fuzzy,dashbord,"Infotainment / screen issue",58,"Key / immobiliser fault",58,,,,,,,
176,action_like,144405,GLASS,maintenance_notes,"changing seatbelt into red tmw will go to hotline for mirror painting","Paint damage",75,token,phrase+token+fuzzy,painting,"Cannot select gear",60,"Worn / bald tyre",54,,,,,,,
191,action_like,167655,ENGINE_MECH,maintenance_notes,"-Steering wheel needs repainting and upholstery cleaning","Paint damage",76,token,phrase+token+fuzzy,repainting,"Seat / upholstery damage",69,"Steering vibration",64,,,,,,,
200,action_like,153862,LIGHTS,maintenance_notes,"windows polishing right  side scratches",Scratch,76,token,phrase+token+fuzzy,scratches,"Foggy / dim lights",55,"Accident damage",53,,,,,,,
204,action_like,152103,BODY,maintenance_notes,"abdullah get new rear bumper they working on painting and assembling it","Bumper damage",77,token,phrase+token+fuzzy,"rear bumper","Paint damage",76,"Wiper / washer fault",56,,,,,,,
