id,plate,car_label,vehicle_id,event_status,out_date,expected_return_date,follow_date,actual_in_date,driver,liable_party,charge_to,garage,maintenance_type,service_main,service_sup,damage_location,severity,responsible,spare_part,invoice_no,cost,maintenance_notes,cost_notes
58621,"P 76722","MINI COOPER - Blue Yellow Black - 2019 - P 76722",1731,OUT,2023-07-18,2023-07-20,2023-07-18,,IMRAN,,,"AJMAN STICAR SHOP",,,,,,,,,,"need to change front break",
58622,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,IN,2023-07-17,,2023-07-19,2023-07-19,,,,,,,,,,,,,,"return from hot line",
58623,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,OUT,2023-07-19,2023-07-20,2023-07-19,,ABDULLAH,,,"SHATEAA ALMANZAR",,,,,,,,,,"tire change",
58624,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,IN,2023-07-19,,2023-07-19,2023-07-19,,,,"SHATEAA ALMANZAR",,,,,,,,,,"return from shateaa almamzar garage",
58625,"F 20468","CHEVROLET CAMARO - Green Black - 2019 - F 20468",1736,OUT,2023-07-19,,2023-07-19,,WALEED,,,"TIRE SHOP",,,,,,,,,,,
58626,"F 20468","CHEVROLET CAMARO - Green Black - 2019 - F 20468",1736,IN,2023-07-19,,2023-07-19,2023-07-19,WALEED,,,"TIRE SHOP",,,,,,,,,,"return to customer",
58627,"T 89529","CHEVROLET CAMARO - Red Black - 2020 - T 89529",1743,"Follow up",2023-07-18,2023-07-19,2023-07-19,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58628,"T 89529","CHEVROLET CAMARO - Red Black - 2020 - T 89529",1743,IN,2023-07-18,2023-07-19,2023-07-19,2023-07-19,PETER,,,"POWER POINT",,,,,,,,,,,
58629,"T 91485","CHEVROLET TRAVERSE - Black - 2021 - T 91485",1825,Delay,2023-07-17,2023-07-19,2023-07-19,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58630,"T 91485","CHEVROLET TRAVERSE - Black - 2021 - T 91485",1825,IN,2023-07-17,,2023-07-19,2023-07-19,ABDULLAH,,,,,,,,,,,,,,
58631,"I 74802","DODGE CHARGER - Yellow Black - 2018 - I 74802",1704,IN,2023-07-14,,2023-07-19,2023-07-19,WALEED,,,"ALTAHDETH ALMOSTAMR",,,,,,,,,,"This car need to monitor the level of water, oil and temperature",
58632,"Y 25873","FORD MUSTANG Conv - Grey Orange - 2019 - Y 25873",1780,IN,2023-07-17,2023-07-19,2023-07-19,2023-07-19,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58633,"T 47927","FORD MUSTANG Conv - Orange Black - 2020 - T 47927",1740,OUT,2023-07-19,2023-07-20,2023-07-19,,ABDULLAH,,,"HOT LINE",,,,,,,,,,"front broken + rim scratches",
58634,"H 52979","JAGUAR E PACE - Black - 2020 - H 52979",1783,OUT,2023-07-19,,2023-07-19,,ABDULLAH,,,"SUPER MAN",,,,,,,,,,"WINDSHIELD WIPER change",
58635,"H 52979","JAGUAR E PACE - Black - 2020 - H 52979",1783,IN,2023-07-19,,2023-07-19,2023-07-19,,,,,,,,,,,,,,"return from super man",
58636,"H 52979","JAGUAR E PACE - Black - 2020 - H 52979",1783,OUT,2023-07-19,,2023-07-19,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"polish// cover fix",
58637,"H 52979","JAGUAR E PACE - Black - 2020 - H 52979",1783,IN,2023-07-19,,2023-07-19,2023-07-19,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58638,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,OUT,2023-07-19,,2023-07-19,,WALEED,,,RMR,,,,,,,,,,"temperature was up with ammar cx",
58639,"C 40385","NISSAN ARMADA - Black Tiffany - 2021 - C 40385",1824,OUT,2023-07-19,,2023-07-19,,ABDULLAH,,,"FUTURE TYRES",,,,,,,,,,polish,
58640,"C 40385","NISSAN ARMADA - Black Tiffany - 2021 - C 40385",1824,Change,2023-07-19,2023-07-22,2023-07-19,,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58641,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,OUT,2023-07-20,2023-07-21,2023-07-20,,ABDULLAH,,,RMR,,,,,,,,,,,
58642,"F 20468","CHEVROLET CAMARO - Green Black - 2019 - F 20468",1736,OUT,2023-07-20,,2023-07-20,,WALEED,,,"POWER POINT",,,,,,,,,,"Front left side fender cover missing and engine cover down missing",
58643,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,IN,2023-07-17,,2023-07-20,2023-07-20,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58644,"T 47927","FORD MUSTANG Conv - Orange Black - 2020 - T 47927",1740,IN,2023-07-19,2023-07-20,2023-07-20,2023-07-20,WALEED,,,"HOT LINE",,,,,,,,,,,
58645,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,IN,2023-07-17,,2023-07-20,2023-07-20,ABDULLAH,,,"HOT LINE",,,,,,,,,,"return form hot line but not ready need to fix macina cover",
58646,"I 29962","JAGUAR E-PACE - Black - 2021 - I 29962",1790,"Follow up",2023-07-16,2023-07-22,2023-07-20,,ABDULLAH,,,RMR,,,,,,,,,,"need girll",
58647,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,"Follow up",2023-07-19,,2023-07-20,,ABDULLAH,,,RMR,,,,,,,,,,,
58648,"V 14234","MERCEDES E300 - Blue - 2019 - V 14234",1802,OUT,2023-07-20,2023-07-21,2023-07-20,,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58649,"V 14234","MERCEDES E300 - Blue - 2019 - V 14234",1802,IN,2023-07-17,,2023-07-20,2023-07-20,ABDULLAH,,,RMR,,,,,,,,,,"return from rmr",
58650,"Q 70589","MINI COOPER - Green - 2018 - Q 70589",1733,OUT,2023-07-20,,2023-07-20,,Waqar,,,"POWER POINT",,,,,,,,,,"This car bornet is not opening// change brakes and service",
58651,"Q 70589","MINI COOPER - Green - 2018 - Q 70589",1733,IN,2023-07-20,,2023-07-20,2023-07-20,Waqar,,,"POWER POINT",,,,,,,,,,,
58652,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,Delay,,2023-07-21,2023-07-20,,WALEED,,,"ISSA ALABD",,,,,,,,,,,
58653,"F 20468","CHEVROLET CAMARO - Green Black - 2019 - F 20468",1736,IN,2023-07-20,,2023-07-21,2023-07-21,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58654,"U 16481","CHEVROLET TRAVERSE - Black - 2020 - U 16481",1768,OUT,2023-07-21,,2023-07-21,,TAYEEF,,,"TIRE AND MORE",,,,,,,,,,"tire change// oil change breaks change",
58655,"U 16481","CHEVROLET TRAVERSE - Black - 2020 - U 16481",1768,Change,2023-07-21,2023-07-23,2023-07-21,,ABDULLAH,,,HAWAK,,,,,,,,,,,
58656,"Y 32506","CHRYSLER 300 - Black - 2019 - Y 32506",1786,OUT,2023-07-21,2023-07-21,2023-07-21,,ABDULLAH,,,ALSBIHI,,,,,,,,,,,
58657,"Y 32506","CHRYSLER 300 - Black - 2019 - Y 32506",1786,IN,2023-07-21,,2023-07-21,2023-07-21,ABDULLAH,,,ALSBIHI,,,,,,,,,,,
58658,"X 81837","DODGE CHARGER - Black Yellow - 2021 - X 81837",1758,OUT,2023-07-21,2023-07-22,2023-07-21,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58659,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,OUT,2023-07-21,2023-07-23,2023-07-21,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58660,"V 14234","MERCEDES E300 - Blue - 2019 - V 14234",1802,IN,2023-07-20,,2023-07-21,2023-07-21,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58661,"P 76722","MINI COOPER - Blue Yellow Black - 2019 - P 76722",1731,Delay,2023-07-18,2023-07-21,2023-07-21,,ABDULLAH,,,"AJMAN STICAR SHOP",,,,,,,,,,,
58662,"P 76722","MINI COOPER - Blue Yellow Black - 2019 - P 76722",1731,IN,2023-07-18,,2023-07-21,2023-07-21,,,,"AJMAN STICAR SHOP",,,,,,,,,,,
58663,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,Delay,,2023-07-22,2023-07-21,,ABDULLAH,,,"ISSA ALABD",,,,,,,,,,,
58664,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,Delay,2023-07-20,2023-07-24,2023-07-22,,WALEED,,,RMR,,,,,,,,,,,
58665,"P 71968","CHEVROLET CAMARO Conv - Black Red - 2019 - P 71968",1767,OUT,2023-07-22,2023-07-26,2023-07-22,,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58666,"X 81837","DODGE CHARGER - Black Yellow - 2021 - X 81837",1758,IN,2023-07-21,,2023-07-22,2023-07-22,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58667,"V 63249","FORD MUSTANG Conv - Blue Orange - 2020 - V 63249",1776,OUT,2023-07-22,,2023-07-22,,PETER,,,"POWER POINT",,,,,,,,,,"Front right side fender cover need to change and no engine cover down",
58668,"C 64845","MERCEDES C300 - Silver - 2020 - C 64845",1836,OUT,2023-07-22,,2023-07-22,,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58669,"C 64845","MERCEDES C300 - Silver - 2020 - C 64845",1836,OUT,2023-07-22,2023-07-22,2023-07-22,,ABDULLAH,,,RMR,,,,,,,,,,,
58670,"C 64845","MERCEDES C300 - Silver - 2020 - C 64845",1836,IN,2023-07-22,,2023-07-22,,ABDULLAH,,,"HOT LINE",,,,,,,,,,"return from hot line",
58671,"C 64845","MERCEDES C300 - Silver - 2020 - C 64845",1836,IN,2023-07-22,,2023-07-22,2023-07-22,ABDULLAH,,,RMR,,,,,,,,,,,
58672,"C 40385","NISSAN ARMADA - Black Tiffany - 2021 - C 40385",1824,IN,2023-07-19,2023-07-23,2023-07-22,2023-07-23,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58673,"Y 81147","NISSAN PATROL BLUE HAWK - Blue - 2019 - Y 81147",1792,OUT,,2023-07-22,2023-07-22,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58674,"Z 47194","RANGE ROVER VELAR - Blue - 2021 - Z 47194",1794,OUT,,2023-07-22,2023-07-22,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58675,"X 35218","CHEVROLET CAMARO Conv - Blue Orange - 2020 - X 35218",1746,OUT,2023-07-23,,2023-07-23,,PETER,,,"POWER POINT",,,,,,,,,,"Change coolant",
58676,"X 35218","CHEVROLET CAMARO Conv - Blue Orange - 2020 - X 35218",1746,IN,2023-07-23,2023-07-23,2023-07-23,2023-07-23,PETER,,,"POWER POINT",,,,,,,,,,,
58677,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,OUT,2023-07-23,,2023-07-23,,WALEED,,,"POWER POINT",,,,,,,,,,"change colant",
58678,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,IN,2023-07-23,2023-07-23,2023-07-23,2023-07-23,WALEED,,,"POWER POINT",,,,,,,,,,,
58679,"P 54765","DODGE CHALLENGER - Red Black - 2018 - P 54765",1720,OUT,2023-07-23,,2023-07-23,,WALEED,,,"ALQWH AL ZAADH",,,,,,,,,,,
58680,"X 94823","DODGE CHARGER DAYTONA - Orange Black - 2020 - X 94823",1748,OUT,2023-07-23,,2023-07-23,,PETER,,,"POWER POINT",,,,,,,,,,"Change coolant",
58681,"X 94823","DODGE CHARGER DAYTONA - Orange Black - 2020 - X 94823",1748,IN,2023-07-23,2023-07-23,2023-07-23,2023-07-23,PETER,,,"POWER POINT",,,,,,,,,,,
58682,"T 90957","DODGE JOURNEY - Sliver - 2020 - T 90957",1814,OUT,2023-07-23,2023-07-23,2023-07-23,,UZAIR,,,"POWER POINT",,,,,,,,,,,
58683,"T 90957","DODGE JOURNEY - Sliver - 2020 - T 90957",1814,IN,2023-07-23,,2023-07-23,2023-07-23,UZAIR,,,"POWER POINT",,,,,,,,,,,
58684,"V 63249","FORD MUSTANG Conv - Blue Orange - 2020 - V 63249",1776,IN,2023-07-22,,2023-07-23,2023-07-23,TAYEEF,,,"POWER POINT",,,,,,,,,,,
58685,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,Change,2023-07-19,,2023-07-23,,WALEED,,,"ALQWH AL ZAADH",,,,,,,,,,,
58686,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,IN,2023-07-19,2023-07-23,2023-07-23,2023-07-23,WALEED,,,"ALQWH AL ZAADH",,,,,,,,,,"with yazan for try",
58687,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,IN,,,2023-07-23,,WALEED,,,"ISSA ALABD",,,,,,,,,,,
58688,"Z 47194","RANGE ROVER VELAR - Blue - 2021 - Z 47194",1794,IN,,,2023-07-23,,Waqar,,,"POWER POINT",,,,,,,,,,,
58689,"X 81830","DODGE DURANGO - Grey Black - 2019 - X 81830",1750,OUT,2023-07-24,2023-07-24,2023-07-24,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"Change coolant",
58690,"X 81830","DODGE DURANGO - Grey Black - 2019 - X 81830",1750,IN,2023-07-24,2023-07-24,2023-07-24,2023-07-24,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58691,"Y 25873","FORD MUSTANG Conv - Grey Orange - 2019 - Y 25873",1780,OUT,2023-07-24,2023-07-25,2023-07-24,,WALEED,,,"POWER POINT",,,,,,,,,,,
58692,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,OUT,2023-07-24,,2023-07-24,,WALEED,,,"TIRE AND MORE",,,,,,,,,,"need to check the front tires because there is light for the tire  and there the steering vibrations",
58693,"C 40385","NISSAN ARMADA - Black Tiffany - 2021 - C 40385",1824,OUT,2023-07-24,2023-07-25,2023-07-24,,ABDULLAH,,,HAWAK,,,,,,,,,,,
58694,"Y 81147","NISSAN PATROL BLUE HAWK - Blue - 2019 - Y 81147",1792,Delay,,2023-07-25,2023-07-24,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58695,"Y 15721","NISSAN PATROL NISMO - Silver Black - 2020 - Y 15721",1795,OUT,,2023-07-24,2023-07-24,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58696,"Y 15721","NISSAN PATROL NISMO - Silver Black - 2020 - Y 15721",1795,IN,,2023-07-24,2023-07-24,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58697,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,Delay,2023-07-20,2023-07-26,2023-07-25,,WALEED,,,RMR,,,,,,,,,,,
58698,"U 16481","CHEVROLET TRAVERSE - Black - 2020 - U 16481",1768,Change,2023-07-21,2023-07-27,2023-07-25,,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58699,"P 54765","DODGE CHALLENGER - Red Black - 2018 - P 54765",1720,IN,2023-07-23,2023-07-25,2023-07-25,2023-07-25,WALEED,,,"ALQWH AL ZAADH",,,,,,,,,,,
58700,"Y 25873","FORD MUSTANG Conv - Grey Orange - 2019 - Y 25873",1780,IN,2023-07-24,2023-07-25,2023-07-25,2023-07-25,IMRAN,,,"POWER POINT",,,,,,,,,,,
58701,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,IN,2023-07-21,2023-07-25,2023-07-25,2023-07-25,UZAIR,,,"POWER POINT",,,,,,,,,,,
58702,"I 29962","JAGUAR E-PACE - Black - 2021 - I 29962",1790,Delay,2023-07-16,2023-07-26,2023-07-25,,WALEED,,,RMR,,,,,,,,,,,
58703,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,Change,2023-07-24,,2023-07-25,,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58704,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,IN,2023-07-24,2023-07-25,2023-07-25,2023-07-25,WALEED,,,"FUTURE TYRES",,,,,,,,,,"need to change the cooling water after 10 days",
58705,"S 52895","MERCEDES CLA250 - Black - 2018 - S 52895",1716,OUT,2023-07-25,,2023-07-25,,UZAIR,,,"TIRE AND MORE",,,,,,,,,,,
58706,"S 52895","MERCEDES CLA250 - Black - 2018 - S 52895",1716,IN,2023-07-25,2023-07-25,2023-07-25,2023-07-25,UZAIR,,,"TIRE AND MORE",,,,,,,,,,,
58707,"C 40385","NISSAN ARMADA - Black Tiffany - 2021 - C 40385",1824,IN,2023-07-24,2023-07-25,2023-07-25,2023-07-25,ABDULLAH,,,HAWAK,,,,,,,,,,,
58708,"Z 19115","NISSAN PATROL NISMO - Dark Blue - 2019 - Z 19115",1807,OUT,2023-07-25,2023-07-27,2023-07-25,,ABDULLAH,,,"FUTURE TYRES",,,,,,,,,,,
58709,"F 68475","NISSAN PATROL BLACK HAWK - Silver - 2018 - F 68475",1703,OUT,,,2023-07-25,,TAYEEF,,,ALTAAF,,,,,,,,,,,
58710,"F 68475","NISSAN PATROL BLACK HAWK - Silver - 2018 - F 68475",1703,OUT,,,2023-07-25,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58711,"F 68475","NISSAN PATROL BLACK HAWK - Silver - 2018 - F 68475",1703,IN,,,2023-07-25,,ABDULLAH,,,ALTAAF,,,,,,,,,,"return fromal-taf",
58712,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,OUT,,2023-07-25,2023-07-25,,PETER,,,"TIRE AND MORE",,,,,,,,,,"change oil and fillter",
58713,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,IN,,2023-07-25,2023-07-25,,WALEED,,,"TIRE AND MORE",,,,,,,,,,,
58714,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,Change,,2023-07-26,2023-07-25,,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58715,"P 71968","CHEVROLET CAMARO Conv - Black Red - 2019 - P 71968",1767,Change,2023-07-22,2023-07-26,2023-07-26,,,,,"POWER POINT",,,,,,,,,,"airbag lighte",
58716,"P 71968","CHEVROLET CAMARO Conv - Black Red - 2019 - P 71968",1767,IN,2023-07-22,2023-07-26,2023-07-26,2023-07-26,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58717,"U 16481","CHEVROLET TRAVERSE - Black - 2020 - U 16481",1768,IN,2023-07-21,2023-07-26,2023-07-26,2023-07-26,Waqar,,,"HOT LINE",,,,,,,,,,,
58718,"T 47925","DODGE CHALLENGER - Grey Red - 2019 - T 47925",1738,OUT,2023-07-26,,2023-07-26,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"need to change the cooling water",
58719,"Z 96884","INFINITI QX56 - Blue Orange - 2020 - Z 96884",1817,OUT,2023-07-26,,2023-07-26,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58720,"Z 96884","INFINITI QX56 - Blue Orange - 2020 - Z 96884",1817,IN,2023-07-26,2023-07-26,2023-07-26,2023-07-26,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58721,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,OUT,2023-07-26,,2023-07-26,,UZAIR,,,"POWER POINT",,,,,,,,,,,
58722,"T 91463","JAGUAR F PACE - Orange - 2020 - T 91463",1831,OUT,2023-07-26,,2023-07-26,,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58723,"T 91463","JAGUAR F PACE - Orange - 2020 - T 91463",1831,IN,2023-07-26,2023-07-26,2023-07-26,2023-07-26,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58724,"Y 60385","JEEP GRAND CHEROKEE SRT - Blue - 2020 - Y 60385",1826,OUT,2023-07-26,,2023-07-26,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58725,"Y 60385","JEEP GRAND CHEROKEE SRT - Blue - 2020 - Y 60385",1826,IN,2023-07-26,,2023-07-26,2023-07-26,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58726,"R 52568","KIA OPTIMA - Grey - 2014 - R 52568",1634,OUT,2023-07-26,,2023-07-26,,WALEED,,,"TIRE AND MORE",,,,,,,,,,,
