contract_no,contract_id,om_income,reconstructed_income,residual,pct_diff,salik_debit,extra_charges_debit,damages_debit,breachs_debit,discount,co_driver_cost,salesman_comm1,salesman_comm2
82257,142026,512,440,72,14.1,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82245,142040,538.5,466.5,72,13.4,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82227,142058,272,200,72,26.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82221,142065,2370,2250,120,5.1,124.00,96.00,380.95,0.00,0.00,0.00,0.00,0.00
82216,142071,522,450,72,13.8,0.00,190.47,0.00,0.00,0.00,0.00,0.00,0.00
82202,142086,1476.92,1380.92,96,6.5,99.00,0.00,1047.60,0.00,110.00,0.00,0.00,0.00
82188,142104,2120,2000,120,5.7,34.00,80.00,571.42,0.00,0.00,0.00,0.00,0.00
82179,142115,1360.08,1288.08,72,5.3,24.00,0.00,0.00,0.00,619.04,0.00,0.00,0.00
82165,142129,1929.5,1809.5,120,6.2,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82138,142161,907.92,811.92,96,10.6,21.00,97.73,0.00,0.00,0.00,0.00,0.00,0.00
82129,142173,827.94,755.94,72,8.7,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82123,142179,1420,1300,120,8.5,75.00,471.42,0.00,0.00,0.00,0.00,0.00,0.00
82115,142188,4470,3970,500,11.2,165.00,0.00,0.00,300.00,0.00,0.00,0.00,0.00
82096,142204,1214.85,1142.85,72,5.9,26.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00
82091,142211,472,400,72,15.3,25.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
82056,142252,1187.6,1067.6,120,10.1,0.00,233.00,285.71,0.00,0.00,0.00,0.00,0.00
82046,142261,832.08,760.08,72,8.7,5.00,0.00,761.90,0.00,0.00,0.00,0.00,0.00
82040,142265,2120,2000,120,5.7,10.00,43.50,952.37,450.00,0.00,0.00,0.00,0.00
82031,142274,2307.84,2139.84,168,7.3,120.00,738.46,285.71,0.00,0.00,0.00,0.00,0.00
82028,142278,1980,1860,120,6.1,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82020,142289,1454.04,1238.04,216,14.9,170.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00
82016,142293,576.19,504.19,72,12.5,44.00,0.00,1428.00,0.00,0.00,0.00,0.00,0.00
82011,142298,1620,1500,120,7.4,310.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82006,142302,470,350,120,25.5,0.00,0.00,0.00,0.00,350.00,0.00,0.00,0.00
82005,142304,1770,1650,120,6.8,91.00,1153.00,2858.00,4080.00,0.00,0.00,0.00,0.00
82001,142307,4239.96,3999.96,240,5.7,250.00,700.00,0.00,1280.00,200.00,0.00,0.00,0.00
81984,142329,952.94,880.94,72,7.6,0.00,0.00,0.00,750.00,0.00,0.00,0.00,0.00
81983,142331,1344,1200,144,10.7,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81971,142341,500.57,428.57,72,14.4,14.00,190.49,0.00,0.00,75.92,0.00,0.00,0.00
81964,142351,452.95,380.95,72,15.9,70.00,0.00,190.47,0.00,0.00,0.00,0.00,0.00
81961,142354,1051.02,979.02,72,6.9,41.00,14.18,761.90,0.00,300.00,0.00,0.00,0.00
81956,142360,660,540,120,18.2,44.00,0.00,0.00,650.00,0.00,0.00,0.00,0.00
81949,142366,548.19,476.19,72,13.1,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81930,142391,2641.08,2377.08,264,10,119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81919,142403,1667.8,1523.8,144,8.6,87.00,120.00,761.90,0.00,380.95,0.00,0.00,0.00
81908,142414,2250,2130,120,5.3,69.00,0.00,285.71,0.00,400.00,0.00,0.00,0.00
81907,142415,1222,1150,72,5.9,74.00,32.00,476.19,0.00,0.00,0.00,0.00,0.00
81889,142436,622,550,72,11.6,10.00,0.00,476.19,0.00,0.00,0.00,0.00,0.00
81879,142450,1272,1200,72,5.7,17.00,2.29,95.23,0.00,0.15,0.00,0.00,0.00
81870,142454,672,600,72,10.7,17.00,2.29,0.00,255.00,0.00,0.00,0.00,0.00
81865,142460,572,500,72,12.6,7.00,1.96,190.47,0.00,0.00,0.00,0.00,0.00
81851,142472,1374,1254,120,8.7,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81849,142474,612,540,72,11.8,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81837,142485,772,700,72,9.3,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81829,142495,1405.12,1277.12,128,9.1,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81826,142497,1168.18,1048.18,120,10.3,30.00,335.00,476.19,450.00,0.00,0.00,0.00,0.00
81824,142499,2968,2800,168,5.7,190.00,0.00,285.71,0.00,0.00,0.00,0.00,0.00
81819,142503,1836.65,1716.65,120,6.5,307.00,290.00,476.19,0.00,140.00,0.00,0.00,0.00
81816,142505,1518,1350,168,11.1,27.00,0.00,190.47,0.00,0.00,0.00,0.00,0.00
81802,142520,4034.27,3754.27,280,6.9,191.00,0.00,0.00,450.00,0.00,0.00,0.00,0.00
81751,142575,2250,2130,120,5.3,126.00,0.00,571.42,1500.00,0.00,0.00,0.00,0.00
82755,142645,1260,1140,120,9.5,72.00,10.38,0.00,0.00,0.00,0.00,0.00,0.00
82753,142647,1977.15,1857.15,120,6.1,24.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00
82738,142666,1140,1020,120,10.5,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82707,142698,1310.08,1238.08,72,5.5,15.00,0.00,0.00,350.00,0.00,0.00,0.00,0.00
82701,142701,471,399,72,15.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82696,142707,1896,1800,96,5.1,173.00,0.00,761.90,0.00,0.00,0.00,0.00,0.00
82665,142745,1062,990,72,6.8,5.00,190.48,0.00,0.00,100.00,0.00,0.00,0.00
82635,142779,308.47,260.47,48,15.6,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82632,142783,792,720,72,9.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82629,142787,610,538,72,11.8,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82625,142793,1477.14,1357.14,120,8.1,152.00,95.23,571.43,0.00,171.43,0.00,0.00,0.00
82602,142818,566.5,494.5,72,12.7,34.00,147.61,285.71,0.00,0.00,0.00,0.00,0.00
82589,142838,928,808,120,12.9,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82573,142856,786.28,714.28,72,9.2,57.00,96.72,0.00,0.00,0.00,0.00,0.00,0.00
82559,142873,968,800,168,17.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82545,142890,472,400,72,15.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82495,142943,713,593,120,16.8,41.00,0.00,0.00,0.00,143.00,0.00,0.00,0.00
82461,142983,832,760,72,8.7,30.00,1.19,0.00,0.00,0.00,0.00,0.00,0.00
82454,142993,882,810,72,8.2,67.00,0.00,762.00,650.00,0.00,0.00,0.00,0.00
82447,143004,1182.84,1062.84,120,10.1,83.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00
82428,143027,347,299,48,13.8,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82424,143032,4795.53,4555.53,240,5,86.00,40.00,0.00,650.00,0.00,0.00,0.00,0.00
82419,143038,600,480,120,20,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82388,143087,840,720,120,14.3,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82374,143096,520,448,72,13.8,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82357,143115,1220,1100,120,9.8,50.00,0.00,95.23,0.00,0.00,0.00,0.00,0.00
82355,143118,1753.35,1633.35,120,6.8,34.00,636.18,285.71,1200.00,0.00,0.00,0.00,0.00
82351,143125,1172,1100,72,6.1,55.00,0.00,95.23,0.00,550.00,0.00,0.00,0.00
82334,143147,518,350,168,32.4,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82327,143155,772,700,72,9.3,0.00,0.00,761.90,0.00,0.00,0.00,0.00,0.00
82313,143173,1292,1220,72,5.6,106.00,95.23,761.90,0.00,0.00,0.00,0.00,0.00
82361,143200,1422,1350,72,5.1,59.00,0.00,666.66,0.00,0.00,0.00,0.00,0.00
83341,143212,5783.45,5483.45,300,5.2,98.00,1957.91,380.95,0.00,0.00,0.00,0.00,0.00
83331,143223,768,696,72,9.4,10.00,1769.70,952.38,39660.00,0.00,0.00,0.00,0.00
83319,143239,1357.7,1285.7,72,5.3,42.00,2.29,0.00,225.00,0.00,0.00,0.00,0.00
83311,143247,2710,2542,168,6.2,83.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00
83293,143261,672,600,72,10.7,57.00,2.29,571.42,0.00,0.00,0.00,0.00,0.00
83256,143304,822,750,72,8.8,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83253,143309,1380,1260,120,8.7,54.00,3.14,0.00,0.00,0.00,0.00,0.00,0.00
83190,143381,872,800,72,8.3,0.00,36.29,285.71,0.00,0.00,0.00,0.00,0.00
83162,143414,660,540,120,18.2,35.00,0.00,285.71,0.00,0.00,0.00,0.00,0.00
83138,143440,2730,2450,280,10.3,182.00,0.00,0.00,1050.00,0.00,0.00,0.00,0.00
83128,143452,1462.38,982.38,480,32.8,5.00,0.00,380.95,0.00,476.19,0.00,0.00,0.00
83119,143461,850,730,120,14.1,22.00,309.05,0.00,0.00,0.00,0.00,0.00,0.00
83118,143462,392,320,72,18.4,10.00,97.52,285.71,0.00,0.00,0.00,0.00,0.00
83097,143488,598,430,168,28.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83094,143495,885,765,120,13.6,0.00,220.00,380.95,0.00,190.47,0.00,0.00,0.00
83092,143497,1102,1030,72,6.5,0.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83087,143502,572,500,72,12.6,58.00,145.14,0.00,0.00,0.00,0.00,0.00,0.00
83081,143508,2270,2150,120,5.3,79.00,192.43,0.00,350.00,0.00,0.00,0.00,0.00
83078,143514,3801.8,3561.8,240,6.3,145.00,168.30,0.00,550.00,0.00,0.00,0.00,0.00
83077,143515,772,700,72,9.3,33.00,2.29,285.71,0.00,0.00,0.00,0.00,0.00
83076,143516,2726.63,2566.63,160,5.9,117.00,16.00,0.00,1600.00,0.00,0.00,0.00,0.00
83054,143543,421,349,72,17.1,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83044,143559,1608.57,1488.57,120,7.5,52.00,0.00,666.66,0.00,0.00,0.00,0.00,0.00
83037,143568,822,750,72,8.8,103.00,185.14,0.00,0.00,0.00,0.00,0.00,0.00
83032,143574,1643.8,1523.8,120,7.3,104.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00
83009,143603,420,300,120,28.6,35.00,3.81,0.00,200.00,0.00,0.00,0.00,0.00
83006,143608,522,450,72,13.8,22.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
82980,143639,3100,2800,300,9.7,17.00,190.48,0.00,0.00,0.00,0.00,0.00,0.00
82979,143640,992,920,72,7.3,7.00,0.00,571.42,0.00,0.00,0.00,0.00,0.00
82967,143651,1214.85,1142.85,72,5.9,7.00,0.00,0.00,0.00,380.95,0.00,0.00,0.00
82963,143655,357.7,285.7,72,20.1,81.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82962,143658,1062.46,990.46,72,6.8,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82953,143672,1143.42,1071.42,72,6.3,0.00,0.00,0.00,0.00,357.14,0.00,0.00,0.00
82952,143673,872,800,72,8.3,5.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00
82964,143682,572,500,72,12.6,34.00,0.00,476.19,0.00,0.00,0.00,0.00,0.00
82942,143685,1272,1200,72,5.7,41.00,0.00,761.90,200.00,0.00,0.00,0.00,0.00
82928,143696,948.3,836.3,112,11.8,144.00,342.86,0.00,0.00,0.00,0.00,0.00,0.00
82918,143710,1338.5,1242.5,96,7.2,195.00,16.00,0.00,550.00,0.00,0.00,0.00,0.00
82908,143727,760,600,160,21.1,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82904,143730,1759.99,1599.99,160,9.1,129.00,0.00,0.00,1100.00,0.00,0.00,0.00,0.00
82888,143747,614.84,542.84,72,11.7,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82870,143763,1020,900,120,11.8,30.00,95.23,666.66,440.00,0.00,0.00,0.00,0.00
82860,143777,412,340,72,17.5,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82850,143787,522,450,72,13.8,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82841,143797,397,325,72,18.1,20.00,0.00,285.71,0.00,0.00,0.00,0.00,0.00
83911,143825,1222.38,1102.38,120,9.8,71.00,480.00,2857.14,3750.00,0.00,0.00,0.00,133.00
83889,143852,622,550,72,11.6,5.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83886,143855,942,870,72,7.6,5.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83885,143856,1444,1300,144,10,12.00,195.03,0.00,0.00,0.00,0.00,0.00,15.00
83870,143874,1740,1500,240,13.8,20.00,0.00,571.42,0.00,500.00,0.00,0.00,0.00
83856,143893,3240,3000,240,7.4,132.00,96.00,190.47,1300.00,0.00,0.00,0.00,0.00
83845,143910,662,590,72,10.9,0.00,2.29,190.47,0.00,0.00,0.00,0.00,0.00
83837,143917,2128,2000,128,6,5.00,4.38,0.00,0.00,0.00,0.00,0.00,0.00
83831,143923,548.19,476.19,72,13.1,5.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83829,143925,3103,2887,216,7,161.00,0.00,0.00,0.00,866.00,0.00,0.00,15.00
83811,143944,652,580,72,11,14.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83792,143968,682,610,72,10.6,0.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83789,143971,3244.47,2884.47,360,11.1,54.00,296.18,285.71,0.00,0.00,0.00,0.00,15.00
83785,143975,2270,2150,120,5.3,10.00,124.00,285.71,0.00,0.00,0.00,0.00,0.00
83775,143986,1929.51,1809.51,120,6.2,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83774,143987,3388.72,3108.72,280,8.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83772,143989,1820,1700,120,6.6,37.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00
83769,143992,920,800,120,13,74.00,240.00,95.23,0.00,0.00,0.00,0.00,0.00
83762,144000,2027.12,1907.12,120,5.9,53.00,33.31,0.00,330.00,0.00,0.00,0.00,15.00
83756,144003,1342,1270,72,5.4,55.00,97.53,190.47,0.00,0.00,0.00,0.00,0.00
83754,144005,2856,2576,280,9.8,44.00,151.42,0.00,0.00,0.00,0.00,0.00,15.00
83753,144006,1120,1000,120,10.7,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83751,144008,532,460,72,13.5,0.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83750,144009,1318.98,1150.98,168,12.7,82.00,142.85,0.00,0.00,0.00,0.00,0.00,0.00
83743,144019,247,199,48,19.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83735,144030,702,630,72,10.3,15.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00
83724,144042,1142,998,144,12.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
83711,144052,4120.48,3800.48,320,7.8,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83696,144070,924.76,804.76,120,13,14.00,0.31,285.71,0.00,0.00,0.00,0.00,0.00
83695,144071,1140,900,240,21.1,0.00,7.62,0.00,0.00,0.00,0.00,0.00,0.00
83675,144096,510,390,120,23.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83672,144099,1122.38,1002.38,120,10.7,50.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00
83638,144139,1466,1250,216,14.7,119.00,6.86,0.00,0.00,0.00,0.00,0.00,15.00
83611,144180,1320,1200,120,9.1,97.00,3.81,285.71,0.00,0.00,0.00,0.00,0.00
83606,144184,1062.99,894.99,168,15.8,106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83591,144203,1119.6,1047.6,72,6.4,5.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83572,144226,1112,1040,72,6.5,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83551,144247,670,550,120,17.9,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83535,144264,635.41,571.41,64,10.1,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83530,144269,1655,1527,128,7.7,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83529,144271,1302.84,1142.84,160,12.3,65.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00
83520,144285,525.14,357.14,168,32,0.00,0.00,190.00,5100.00,190.00,0.00,0.00,0.00
83519,144286,496.57,328.57,168,33.8,0.00,0.00,380.95,0.00,0.00,0.00,0.00,0.00
83488,144323,1022,950,72,7,70.00,8.29,0.00,0.00,0.00,0.00,0.00,0.00
83486,144325,1040,920,120,11.5,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83450,144365,872,800,72,8.3,10.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83449,144366,1124.65,996.65,128,11.4,73.00,4.38,0.00,0.00,0.00,0.00,0.00,0.00
83443,144371,683.42,611.42,72,10.5,35.00,192.76,0.00,0.00,0.00,0.00,0.00,0.00
83438,144375,1120.44,920.44,200,17.9,15.00,0.00,0.00,450.00,0.00,0.00,0.00,23.63
83437,144376,820,700,120,14.6,10.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00
83420,144395,2530.99,2362.99,168,6.6,10.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
83406,144412,1012,940,72,7.1,77.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83377,144445,997,925,72,7.2,22.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
83374,144447,1020.08,948.08,72,7.1,0.00,2.29,190.48,0.00,0.00,0.00,0.00,0.00
83364,144458,1215.6,1047.6,168,13.8,15.00,0.00,0.00,0.00,523.80,0.00,0.00,0.00
84475,144494,1920,1800,120,6.3,0.00,190.47,0.00,440.00,600.00,0.00,0.00,0.00
84474,144496,3496,3280,216,6.2,108.00,244.77,285.71,0.00,0.00,0.00,0.00,0.00
84471,144499,1668,1500,168,10.1,0.00,5.33,0.00,650.00,0.00,0.00,0.00,0.00
84466,144501,1598,1430,168,10.5,29.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00
84454,144512,1964,1796,168,8.6,26.00,4.38,0.00,0.00,0.00,0.00,15.00,15.00
84450,144517,2118,1950,168,7.9,87.00,44.80,0.00,0.00,0.00,0.00,0.00,0.00
84427,144545,680,400,280,41.2,21.00,8.57,0.00,0.00,400.00,0.00,0.00,0.00
84423,144548,2290.48,2170.48,120,5.2,142.00,7.57,0.00,0.00,0.00,0.00,0.00,0.00
84419,144551,1418,1298,120,8.5,24.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00
84402,144572,1968,1800,168,8.5,10.00,190.46,285.71,0.00,0.00,0.00,0.00,0.00
84374,144595,1220,1100,120,9.8,5.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00
84368,144602,520,400,120,23.1,7.00,4.43,0.00,0.00,0.00,0.00,0.00,0.00
84358,144613,2054.62,1910.62,144,7,83.00,29.24,285.71,0.00,0.00,0.00,0.00,15.00
84351,144620,1344,1200,144,10.7,0.00,4.57,0.00,0.00,0.00,0.00,0.00,15.00
84341,144630,1380,1260,120,8.7,0.00,384.75,0.00,0.00,0.00,0.00,0.00,0.00
84335,144638,970,850,120,12.4,37.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00
84328,144644,910,790,120,13.2,30.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00
84316,144658,1144,1000,144,12.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
84305,144665,869,725,144,16.6,80.00,3.62,0.00,0.00,0.00,0.00,0.00,15.00
84288,144686,1344,1200,144,10.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
84282,144694,1716,1500,216,12.6,15.00,7.11,285.71,0.00,0.00,0.00,0.00,15.00
84275,144704,1286.84,1142.84,144,11.2,12.00,0.22,0.00,0.00,0.00,0.00,0.00,15.00
84261,144716,1044,900,144,13.8,0.00,4.57,0.00,0.00,0.00,0.00,0.00,15.00
84256,144721,1382,1238,144,10.4,24.00,20.28,761.90,330.00,0.00,0.00,0.00,15.00
84220,144758,632,560,72,11.4,38.00,2.29,142.85,0.00,0.00,0.00,0.00,0.00
84218,144759,3428.53,3148.53,280,8.2,93.00,2.00,285.71,0.00,0.00,0.00,0.00,0.00
84211,144766,1222.2,1078.2,144,11.8,10.00,4.57,0.00,0.00,0.00,0.00,0.00,15.00
84165,144811,2864.65,2696.65,168,5.9,153.00,4.86,571.42,0.00,0.00,0.00,0.00,0.00
84158,144817,1017,945,72,7.1,55.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
84152,144825,1891.4,1771.4,120,6.3,187.00,3.81,0.00,650.00,0.00,0.00,0.00,0.00
84141,144837,2948.09,2588.09,360,12.2,79.00,10.48,285.71,0.00,0.00,0.00,0.00,15.00
84134,144840,622,550,72,11.6,17.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
84125,144848,1412,1196,216,15.3,12.00,222.86,0.00,0.00,0.00,0.00,0.00,15.00
84116,144860,1548.57,1428.57,120,7.7,49.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00
84167,144888,2315,2195,120,5.2,297.00,113.81,0.00,0.00,0.00,0.00,0.00,0.00
84078,144903,1320,1200,120,9.1,14.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00
84071,144909,1044,900,144,13.8,32.00,4.57,0.00,0.00,0.00,0.00,0.00,15.00
84069,144911,4740,4500,240,5.1,22.00,167.62,4761.90,850.00,0.00,0.00,15.00,0.00
84058,144923,477,405,72,15.1,10.00,7.52,95.24,0.00,0.00,0.00,0.00,0.00
84030,144954,1863,1647,216,11.6,0.00,6.86,0.00,0.00,0.00,0.00,0.00,15.00
84005,144979,1500,1284,216,14.4,34.00,6.86,0.00,650.00,0.00,0.00,0.00,15.00
83994,144989,920,800,120,13,64.00,0.00,0.00,660.00,0.00,0.00,0.00,0.00
83989,144996,820,700,120,14.6,30.00,3.81,95.23,0.00,0.00,0.00,0.00,0.00
83969,145021,2240,2080,160,7.1,20.00,4.76,286.00,0.00,80.00,0.00,0.00,0.00
83965,145024,933,765,168,18,25.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00
83916,145077,1099,955,144,13.1,72.00,4.57,0.00,0.00,0.00,0.00,0.00,0.00
85093,145089,1726,1582,144,8.3,0.00,19.81,62.00,0.00,0.00,0.00,0.00,15.00
85084,145097,1791,1647,144,8,27.00,4.10,285.71,0.00,0.00,0.00,0.00,15.00
85048,145136,1425,1209,216,15.2,0.00,78.86,0.00,0.00,0.00,0.00,0.00,15.00
85044,145140,2216,2000,216,9.7,53.00,46.86,571.42,0.00,500.00,0.00,0.00,15.00
85008,145176,987.75,867.75,120,12.1,21.00,98.09,0.00,0.00,0.00,0.00,0.00,0.00
85006,145178,835.25,715.25,120,14.4,21.00,98.09,0.00,0.00,0.00,0.00,0.00,0.00
85005,145179,771.24,651.24,120,15.6,21.00,98.09,0.00,0.00,0.00,0.00,0.00,0.00
85004,145180,855.24,735.24,120,14,40.00,98.09,0.00,0.00,0.00,0.00,0.00,0.00
85003,145181,691.25,571.25,120,17.4,21.00,98.09,0.00,0.00,0.00,0.00,0.00,0.00
85001,145183,775.74,655.74,120,15.5,21.00,98.09,476.19,0.00,190.48,0.00,0.00,0.00
85000,145184,736.25,616.25,120,16.3,21.00,98.09,0.00,0.00,0.00,0.00,0.00,0.00
84984,145218,2117.88,1901.88,216,10.2,0.00,5.90,0.00,330.00,0.00,0.00,0.00,121.20
84930,145263,1500,1260,240,16,30.00,7.62,0.00,0.00,0.00,0.00,0.00,0.00
84894,145295,1851,1611,240,13,42.00,87.43,285.71,250.00,0.00,0.00,0.00,0.00
84860,145329,1332.25,1212.25,120,9,14.00,99.04,0.00,230.00,382.23,0.00,0.00,0.00
84859,145330,1142.75,1022.75,120,10.5,14.00,99.04,0.00,0.00,222.73,0.00,0.00,0.00
